Year,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),KHARIF SORGHUM AREA (1000 ha),KHARIF SORGHUM PRODUCTION (1000 tons),KHARIF SORGHUM YIELD (Kg per ha),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),PEARL MILLET YIELD (Kg per ha),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),BARLEY AREA (1000 ha),BARLEY PRODUCTION (1000 tons),BARLEY YIELD (Kg per ha),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),PIGEONPEA YIELD (Kg per ha),MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),MINOR PULSES YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),SESAMUM YIELD (Kg per ha),RAPESEED AND MUSTARD AREA (1000 ha),RAPESEED AND MUSTARD PRODUCTION (1000 tons),RAPESEED AND MUSTARD YIELD (Kg per ha),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),FRUITS AREA (1000 ha),VEGETABLES AREA (1000 ha),FRUITS AND VEGETABLES AREA (1000 ha),POTATOES AREA (1000 ha),ONION AREA (1000 ha),FODDER AREA (1000 ha)
1974,Rohtak,10.1,9,891.09,204.4,356,1741.68,70.9,14,197.46,70.9,14,197.46,121.3,46,379.23,7.3,5,684.93,26,28,1076.92,86.5,56,647.4,0,0,0,6.26,-1,-1,0,0,0,0.2,0,0,21.1,15,710.9,21.26,-1,-1,49,176,3591.84,7.4,1.2,162.16,1.22,4.1,5.31,0.62,0.15,55.49
1975,Rohtak,10.5,12,1142.86,217.1,394,1814.83,74.8,12,160.43,74.8,12,160.43,131,67,511.45,7.1,7,985.92,19,22,1157.89,126.7,106,836.62,0.4,0,0,7.3,-1,-1,0,0,0,0.2,0,0,12.4,6,483.87,12.61,-1,-1,50,225,4500,10.3,2.3,223.3,1.54,4.54,6.07,0.45,0.15,59.2
1976,Rohtak,11.5,16,1391.3,234.9,420,1787.99,76.6,10,130.55,76.6,10,130.55,124.6,47,377.21,6.4,5,781.25,11,10,909.09,121.8,133,1091.95,0,0,0,5.16,3.5,678.29,0,0,0,0.2,0.1,500,10.8,8,740.74,11.03,8.1,734.36,53,215,4056.6,6.9,1.6,231.88,1.61,4.37,5.97,0.36,0.1,44.98
1977,Rohtak,15.9,21,1320.75,244,448,1836.07,78.6,8,101.78,78.6,8,101.78,112.3,68,605.52,4.2,1,238.1,12,15,1250,109.5,113,1031.96,0,0,0,6.03,2.9,480.93,0,0,0,0.1,0,0,14.7,8,544.22,14.81,-1,-1,58,224,3862.07,7.2,1.6,222.22,1.77,4.99,6.77,0.44,0.15,47.72
1978,Rohtak,31.3,39,1246.01,259.8,511,1966.9,69.9,9,128.76,69.9,9,128.76,105.2,31,294.68,4.3,1,232.56,12,21,1750,105.8,94,888.47,0,0,0,7.79,5.9,757.38,0,0,0,0.1,0,0,11.1,7,630.63,11.27,-1,-1,57,183,3210.53,6.2,1.4,225.81,1.67,6.53,8.2,0.77,0.17,53.67
1979,Rohtak,36,21,583.33,252,570,2261.9,61,12,196.72,61,12,196.72,110,53,481.82,6,5,833.33,9,8,888.89,53,30,566.04,0,0,0,4.55,-1,-1,0,0,0,0.1,0.1,1000,11,7,636.36,11.37,-1,-1,36,98,2722.22,10,2.1,210,1.86,6.94,8.81,0.59,0.43,47.06
1980,Rohtak,21,26,1238.1,255,623,2443.14,69,21,304.35,69,21,304.35,113,85,752.21,4,2,500,14,16,1142.86,68,47,691.18,0,0,0,6.72,5.1,758.93,0.1,0.1,1000,0.1,0.1,1000,16,10,625,18.57,12.1,651.59,31.5,82,2603.17,13,2.9,223.08,1.52,7.94,9.46,0.47,0.19,76.56
1981,Rohtak,20,28,1400,260,547,2103.85,60,17,283.33,60,17,283.33,110,87,790.91,3,2,666.67,17,17,1000,90,29,322.22,2.5,1.7,680,5.47,-1,-1,0.1,0.1,1000,0,0,0,16,10,625,21.32,11.9,558.16,41,164,4000,12,3,250,1.51,6.28,7.79,0.81,0.16,82.04
1982,Rohtak,20,36,1800,281,689,2451.96,64,17,265.63,64,17,265.63,95,65,684.21,3,3,1000,11,12,1090.91,42,22,523.81,0,0,0,7.02,-1,-1,0.1,0.1,1000,0.1,0,0,16,10,625,17.95,-1,-1,43,140,3255.81,12,3.2,266.67,1.81,7.66,9.47,0.82,0.53,78.28
1983,Rohtak,26,44,1692.31,280,699,2496.43,85,0,0,85,0,0,124,29,233.87,3,2,666.67,10,9,900,52,39,750,5.6,3.3,589.29,11.3,-1,-1,0,0,0,0.1,0.1,1000,21,21,1000,20.88,-1,-1,41,151,3682.93,12,1.9,158.33,1.93,5.44,7.37,0.65,0.16,77.43
1984,Rohtak,27,59,2185.19,280,687,2453.57,84,23,273.81,84,23,273.81,107,52,485.98,3,2,666.67,10,10,1000,58,54,931.03,4.7,2.8,595.74,7.02,-1,-1,0,0,0,0.3,0.2,666.67,34,32,941.18,34.77,-1,-1,36,142,3944.44,8,1.7,212.5,2.26,7.59,9.85,0.67,0.21,67.14
1985,Rohtak,29,71,2448.28,267,796,2981.27,61,10,163.93,61,10,163.93,64,33,515.63,2,2,1000,12,20,1666.67,72,67,930.56,5.4,5.6,1037.04,8.77,5.3,604.33,0.1,0,0,0.3,0.2,666.67,44,28,636.36,46.09,29.1,631.37,28,124,4428.57,10,2.2,220,2.4,2.19,4.59,0.54,0.48,60.36
1986,Rohtak,34,72,2117.65,282,767,2719.86,74,18,243.24,74,18,243.24,80,53,662.5,2,1,500,9,8,888.89,62,35,564.52,6.3,7.2,1142.86,6.2,-1,-1,0.1,0.1,1000,0.3,0.1,333.33,36,24,666.67,37.62,-1,-1,30,172,5733.33,10,2.7,270,2.57,2.14,4.71,0.38,0.3,71.38
1987,Rohtak,17,34,2000,266,732,2751.88,59,1,16.95,59,1,16.95,38,14,368.42,1,0,0,7,8,1142.86,16,6,375,12.4,10.2,822.58,2.94,-1,-1,0,0,0,0.2,0.1,500,40,43,1075,40.63,-1,-1,35,101,2885.71,9,1.9,211.11,2.33,2.04,4.37,0.69,0.48,46.35
1988,Rohtak,31,61,1967.74,278,840,3021.58,84,20,238.1,84,20,238.1,94,107,1138.3,2,1,500,10,19,1900,49,49,1000,15.9,18,1132.08,4.6,4.6,1000,0,0,0,0.4,0.2,500,54,69,1277.78,54.2,67.4,1243.54,32,160,5000,12,2.7,225,3.39,7.21,10.59,0.6,0.27,81.1
1989,Rohtak,29,56,1931.03,290,881.6,3040,63,15.2,241.27,63,15.2,241.27,63.6,49.2,773.58,1,1,1000,6.9,12.3,1782.61,35.8,33.3,930.17,16.1,17.1,1062.11,3.07,2.8,912.05,0,0,0,0.3,0.2,666.67,69,65.2,944.93,71.75,68.7,957.49,30,148,4933.33,11,4.9,445.45,2.87,7.89,10.75,0.57,0.3,-1
1990,Rohtak,29.6,72,2432.43,271.11,857.72,3163.75,67.68,32.39,478.6,67.68,32.39,478.6,58.34,59.58,1021.29,1.2,1,833.33,7.81,16.21,2076.61,38.45,28.69,746.2,25.51,24,940.7,0.4,0.2,500,0,0,0,0.44,0.21,485.19,83.92,116.4,1387.1,85.16,116.61,1369.42,33.2,165,4969.88,12.5,3.06,244.8,3.63,8.13,11.75,0.59,0.51,0
1991,Rohtak,29.6,70,2364.86,265.2,881.37,3323.37,57.99,17.13,295.4,57.99,17.13,295.4,44.93,31.03,690.63,0.8,1,1250,7.17,12.47,1738.95,16.05,10.52,655.45,27.8,29.6,1064.75,0.3,0.2,666.67,0,0,0,0.25,0.11,448.41,95.12,86.97,914.36,105.17,103.38,983.03,36.3,200,5509.64,9.8,2.04,208.16,3.17,10.37,13.54,0.68,0.82,0
1992,Rohtak,41,92,2243.9,283.02,972.62,3436.59,66.11,23.13,349.86,66.11,23.13,349.86,59.36,74.49,1254.86,0.8,2,2500,6.39,9.95,1557.36,15.54,10.65,685.33,27.61,30.2,1093.69,0.2,0.2,1000,0.1,0,0,0.13,0.1,793.65,90.51,75.54,834.62,93.63,80.64,861.23,30,145,4833.33,10.01,2.55,254.67,3.23,3.71,6.94,0.57,0.71,0
1993,Rohtak,45.71,105,2296.94,276.06,1012.45,3667.57,46.8,12.13,259.22,46.8,12.13,259.22,44.39,40.12,903.83,0.9,1,1111.11,4.74,10.17,2144.66,17.23,18.78,1089.83,28.93,32.91,1137.83,0.2,0.1,500,0.11,0.01,115.04,0.24,0.11,472.8,95.06,129.35,1360.66,96.32,130.58,1355.7,25,146,5840,14.91,3.23,216.59,2.15,9.62,11.78,0.4,0.3,0
1994,Rohtak,54.4,122,2242.65,282.36,1038.36,3677.5,65.59,16.13,245.94,65.59,16.13,245.94,52.09,66.58,1278.2,0.4,0,0,6.2,15.82,2552.44,19.16,20.04,1046.04,32.41,44.11,1360.97,2.4,0.2,83.33,0.13,0.11,896.83,0.33,0.11,346.63,86.42,107.78,1247.18,87.77,109.01,1241.94,27.6,165,5978.26,13.33,4.08,306.17,2.12,6.51,8.63,0.3,0.66,0
1995,Rohtak,72.11,124,1719.52,277.53,1014.41,3655.19,79.09,11,139.07,79.09,11,139.07,68.59,27.9,406.77,0.3,0,0,5.78,14.04,2430.33,17.38,18.52,1065.29,0,0,0,0,0,0,0.1,0,0,0.41,0.11,273.61,77.28,96.74,1251.83,78.32,97.64,1246.71,33.6,185,5505.95,22.16,4.61,208.22,2.11,5.88,7.99,0.2,0.36,0
1996,Rohtak,70.71,156,2206.1,286.29,1064.71,3719.04,77.79,15.13,194.51,77.79,15.13,194.51,57.37,61.89,1078.82,0.1,0,0,5.73,16.65,2903.73,15.42,15.52,1006.49,0,0,0,0,0,0,0,0.1,0,0.31,0.1,319.49,81.15,105.64,1301.82,81.96,106.64,1301.11,36.21,189,5219.12,19.24,5.17,268.91,2.68,6.94,9.62,0.45,0.39,0
1997,Rohtak,86.73,172,1983.26,292.75,1011.23,3454.24,72.79,15.13,207.84,72.79,15.13,207.84,63.47,74.89,1179.93,0.5,0,0,5.16,12.65,2451.55,17.27,11.39,659.45,28.07,36.03,1283.62,0.1,0.1,1000,0.21,0.11,530.52,0.31,0.1,319.49,63.26,33.72,533.06,63.8,33.93,531.89,27.3,128,4688.64,9.57,1.94,202.27,0.89,11.81,12.71,0.5,0.86,0
1998,Rohtak,127.13,224.26,1764.02,324.76,1200.78,3697.44,77.26,17,220.04,77.26,17,220.04,68.15,72.8,1068.23,0,0,0,4.26,10.78,2530.52,13.65,10.26,751.65,5,6,1200,0,0,0,0,0,0,0.13,0,0,56.67,68.31,1205.4,56.67,68.31,1205.4,24,129,5375,17.39,3.47,199.33,2.07,6.82,8.89,0.66,0.11,70.35
1999,Rohtak,121.34,179.26,1477.3,338.11,1345.08,3978.27,61.92,12.13,195.89,61.92,12.13,195.89,56.76,42.28,744.9,1,2,2000,5.62,12.91,2296.74,7.67,4.26,555.19,4.34,4.51,1040.1,2.6,0.4,153.85,0.1,0.1,1000,0.24,0.01,54.39,42.31,53.57,1266.04,42.65,53.68,1258.63,22.7,106,4669.6,13.61,3.98,292.12,2.34,8.44,10.78,0.69,0.1,40.03
2000,Rohtak,117.79,199.39,1692.74,343.42,1341.64,3906.66,66.34,16,241.17,66.34,16,241.17,60.47,77.67,1284.4,0.2,0,0,7.18,18.95,2637.44,5.12,4.13,807.11,8.51,7.1,834.02,0,0,0,0,0,0,0.14,0,0,45.39,68.61,1511.73,45.52,68.61,1507.12,24,124,5166.67,15.41,3.34,216.8,2.19,8.13,10.32,0.66,0.22,44.94
2001,Rohtak,114.79,197.39,1719.56,335.56,1370.3,4083.67,64.62,14,216.65,64.62,14,216.65,58.63,76.83,1310.4,0.3,0,0,3.98,12.39,3111.5,6.53,6.13,938.74,11.31,8.6,760.19,1.4,1,714.29,0,0,0,0.16,0.01,78.79,58.87,91.69,1557.47,59.04,91.7,1553.34,29.4,158,5374.15,16.03,2.28,141.97,1.38,9.37,10.74,0.6,0.06,64.77
2002,Rohtak,57.94,123,2122.92,319.23,1311.4,4107.98,69.16,14,202.44,69.16,14,202.44,50.54,55.38,1095.77,0.2,0,0,3.35,5.78,1726.92,4.34,4,921.87,27.3,15.9,582.42,0.21,0,0,0.01,0,0,0.69,0.11,163.53,72.63,83.18,1145.29,73.33,83.29,1135.83,41.4,197,4758.45,19.67,4.66,236.68,1.42,9.28,10.7,0.61,0.33,55.09
2003,Rohtak,91.58,188.39,2057.15,320.12,1224.61,3825.45,64.56,17.13,265.33,64.56,17.13,265.33,57.66,93.13,1615.02,0.6,2,3333.33,3.77,8.39,2226.05,4.28,4.13,964.5,19.31,23.51,1217.47,0.3,0,0,0.01,0.01,1000,0.23,0,0,76.68,116.82,1523.55,76.92,116.83,1518.99,36.5,196,5369.86,17.46,5.37,307.3,1.74,4.82,6.57,0.64,0.22,50.3
2004,Rohtak,94.38,166.39,1762.93,310,1175.18,3790.9,64.31,18,279.88,64.31,18,279.88,52.82,82.14,1555.11,0.57,2,3508.77,2.83,8,2826.86,2.35,2,852.04,22.31,24.21,1085.51,0.71,0.5,705.12,0.1,0.03,252.67,0.4,0,0,97.13,110.3,1135.58,97.46,122.13,1253.09,33.2,165,4969.68,21.34,6.89,322.67,1.77,4.98,6.75,0.4,0.09,48.14
2005,Rohtak,106.58,232.39,2180.47,320.33,1211.36,3781.6,62.41,18.13,290.51,62.41,18.13,290.51,55.3,71.24,1288.2,0.8,2,2500,3,8.39,2792.94,3.07,3,978.47,23.58,19.43,823.76,0.74,0.1,134.9,0.23,0.11,500,0.24,0.11,472.8,101.12,96.93,958.56,101.55,97.16,956.78,26.5,160,6037.74,19.47,6.05,310.54,1.14,9,10.13,0.61,0.36,49.97
2006,Rohtak,105.3,246.39,2339.8,338.42,1419.91,4195.69,61.06,17.13,280.54,61.06,17.13,280.54,63.59,103.66,1630.18,0.5,0,0,4.23,11.78,2782.24,2.21,2,903.75,20.46,24.73,1208.46,2.37,0.2,84.56,0.31,0.11,361.02,0.23,0,0,74.17,100.48,1354.78,74.71,100.59,1346.52,28.4,202.7,7137.32,12.28,5.06,412.36,2.1,9.53,11.64,0.3,0.18,44.11
2007,Rohtak,113.4,287.39,2534.21,345.22,1366.65,3958.81,60.5,27.13,448.4,60.5,27.13,448.4,69.13,131.13,1896.78,0.8,3,3750,2.96,8.39,2838.29,1.43,2,1402.52,22.39,24.43,1090.77,0.63,0.2,316.16,0.11,0.11,1000,0.1,0,0,59.93,73.52,1226.7,60.15,73.73,1225.9,26,179,6884.62,9.97,4.66,467.08,2.15,10.16,12.31,0.3,0.04,49.95
2008,Rohtak,165.36,267.65,1618.59,346.45,1577.04,4551.95,53.37,26.13,489.65,53.37,26.13,489.65,65.34,114.73,1755.95,0.4,0.8,2000,5.57,17.91,3213.71,1.71,2,1167.54,24.69,26.91,1089.94,0.16,0.12,769.23,0.11,0.2,1769.91,0.23,0,0,59.85,106.03,1771.48,60.19,106.23,1764.82,14.3,82.3,5755.24,7.83,4.16,531.83,2.13,7.3,9.43,0.8,0.03,41.94
2009,Rohtak,151.57,316.65,2089.09,352.52,1477.6,4191.56,50.17,24,478.42,50.17,24,478.42,71.12,131.61,1850.59,2.3,4,1739.13,4.42,11.91,2693.96,1.61,2,1239.93,14.82,16.41,1107.56,0.3,0.24,807.71,0.11,0.01,115.04,0.13,0.01,103.17,57.88,92.47,1597.73,58.1,92.5,1591.96,8.8,61.1,6943.18,9.38,3.76,401.16,2.18,8.28,10.45,0.83,0.08,32.34
2010,Rohtak,164.35,324.04,1971.63,352.86,1619.59,4589.83,45.03,23.13,513.66,45.03,23.13,513.66,90.37,150.38,1664.03,1.2,4,3333.33,4.37,14.52,3323.42,1.51,2,1321.88,0,0,0,0,0,0,0.11,0.1,884.96,0.14,0.01,93.53,51.61,91.25,1768,51.96,91.36,1758.2,13.7,104,7591.24,8.16,2.24,273.89,2.09,8.66,10.76,0.2,0.05,30.48
2011,Rohtak,165.43,381.17,2304.13,369.48,1918.2,5191.63,40.62,20.13,495.61,40.62,20.13,495.61,77.66,156.11,2010.07,1.4,6,4285.71,6.65,22.04,3315.78,1.3,1,769.23,0,0,0,0,0,0,0.21,0.21,1000,0.24,0.01,54.39,52.86,84.34,1595.57,53.11,84.57,1592.25,18.7,141,7540.11,11.84,7.52,635.33,2.49,8.57,11.06,0.8,0.08,9.66
2012,Rohtak,148.18,324.91,2192.65,347.5,1436.86,4134.8,38.29,19,496.16,38.29,19,496.16,60.2,116.74,1939.17,1.53,6,3921.57,10.78,36.91,3425.43,1.2,2,1661.27,4.53,4.84,1068.38,4.19,48.58,11594.27,0.08,0.09,1130.72,0.1,0.03,312.44,60.34,100.85,1671.35,60.49,61.18,1011.37,21.02,135.4,6440.29,15.85,8.8,555.27,2.06,7.92,9.97,0.75,0.15,13.32
2013,Rohtak,174.26,406.91,2335.07,348.85,1535.86,4402.64,38.13,21.13,554.16,38.13,21.13,554.16,60.8,113.2,1861.84,1,3,3000,8.26,33.04,4000,2,2,1000,6.31,7.11,1126.72,0,0,0,0.2,0.2,1000,0.03,0.01,500,53.58,83.99,1567.56,53.97,84.2,1560.15,19,140,7368.42,19.13,7.55,394.47,1.93,2.68,4.6,0.24,0.12,20.61
2014,Rohtak,164.26,398.78,2427.74,374.5,1363.53,3640.93,34.13,18,527.4,34.13,18,527.4,58.67,106.55,1816.09,2,4,2000,6.26,14.65,2340.26,0,0,0,4,2.5,625,0.8,3.81,4742.54,0,0,0,0,0,0,41.19,53.61,1301.53,40.59,52.72,1298.92,18,131.4,7300,26.26,10.31,392.63,2.38,6.85,9.22,0.11,0.38,9.29
2015,Rohtak,188.46,471.78,2503.34,367.13,1511.38,4116.74,34,18,529.41,34,18,529.41,62.56,134.16,2144.5,0.4,1,2500,4.46,12.91,2894.62,0.6,0,0,0,0,0,2.2,0,0,0.1,0.11,1130,0.5,0.15,301.59,44.39,69.08,1556.21,44.99,69.35,1541.21,0,0,0,28.11,10.81,384.46,1.57,8.9,10.48,0.7,0.25,37.29
2016,Rohtak,192.71,439.52,2280.71,348.87,1802.33,5166.25,0,0,0,26.86,16,595.57,52.17,144.37,2767.51,0.7,15,21428.57,3.9,14.65,3752.56,0.5,2,4000,0,0,0,1.58,11.09,7010.11,0.11,0.11,1000,0.14,0.06,467.63,41.56,91.72,2207.2,41.91,91.9,2192.9,21.3,164,7699.53,24.62,11.67,473.83,0,0,0,1,0,0
2017,Rohtak,197.13,502.65,2549.79,360.89,1733.25,4802.67,0,0,0,27.35,14,511.85,69.6,114.29,1642.07,0.8,4,5000,4.4,13.65,3099.46,0.6,0.8,1333.33,0,0,0,1.5,11,7336.67,0.01,0.01,1000,0.13,0.01,103.17,51.31,106.63,2078.31,51.45,106.66,2073.2,0,0,0,26.71,14.58,545.71,0,0,0,0,0,0
